index,Model,Language,Mode,Bias Score,t-stat,p-val,Significant
2,Gemma,Spanish,Implicit,-0.17941547477948755,-4.0284,8e-05,Significant
5,Gemma,Spanish,Explicit,0.8438335434222227,62.76026,0.0,Significant
8,Gemma,English,Implicit,-0.02541126785342416,-0.52607,0.59943,-
11,Gemma,English,Explicit,0.17941568238636954,1.99071,0.05211,-
14,GPT,Spanish,Implicit,0.12814660305944248,2.95288,0.00353,Significant
17,GPT,Spanish,Explicit,0.6831616895657063,19.96315,0.0,Significant
20,GPT,English,Implicit,0.10438804447356821,2.20386,0.02874,Significant
23,GPT,English,Explicit,0.687223062850948,31.33749,0.0,Significant
26,Qwen,Spanish,Implicit,-0.08433954031614499,-2.22139,0.02746,Significant
29,Qwen,Spanish,Explicit,0.5252875502471074,10.64102,0.0,Significant
32,Qwen,English,Implicit,-0.18888802518842612,-4.99193,0.0,Significant
35,Qwen,English,Explicit,-0.0421686016006089,-0.57135,0.57037,-
38,Llama,Spanish,Implicit,-0.029892729516596765,-0.54356,0.58757,-
41,Llama,Spanish,Explicit,0.5260612361612915,7.24637,0.0,Significant
44,Llama,English,Implicit,-0.04714163524876581,-0.93549,0.35118,-
47,Llama,English,Explicit,0.3957438600911625,5.21018,0.0,Significant
